Game,Released,Game platforms,Status,Played on,Created,Updated,Rating,Review,Rating Created,Url
Space Hack,2014-08-05,PC,Played,PC,2020-02-03 22:05:43,2020-02-03 22:31:31,,,,https://rawg.io/games/space-hack
Dungeon Defenders II,2014-12-05,"PC, PlayStation 4, Xbox One",Not played,PC,2020-02-03 22:05:44,2020-02-03 22:31:25,,,,https://rawg.io/games/dungeon-defenders-ii
NARUTO STORM R,2014-09-16,Xbox 360,Played,,2020-02-03 22:06:11,2020-02-03 22:31:15,meh,,2020-02-03 23:20:57,https://rawg.io/games/naruto-storm-r
Black Desert Online,2014-12-01,"PC, PlayStation 4, Xbox One",Played,PC,2020-02-03 22:05:44,2020-02-03 22:31:04,meh,,2020-02-03 23:29:20,https://rawg.io/games/black-desert-online
"I Have No Mouth, and I Must Scream",1995-10-30,"Linux, macOS, iOS, PC, Android",Currently playing,PC,2020-02-03 22:05:41,2020-02-03 22:27:05,,,,https://rawg.io/games/i-have-no-mouth-and-i-must-scream-2
Resident Evil HD Remaster,2015-01-19,"Nintendo Switch, Xbox 360, Xbox One, PlayStation 4, PC, PlayStation 3",Played,PC,2020-02-03 22:05:45,2020-02-03 22:26:49,,,,https://rawg.io/games/resident-evil-hd-remaster
Voxelized,2015-03-19,PC,Not played,PC,2020-02-03 22:05:43,2020-02-03 22:26:46,,,,https://rawg.io/games/voxelized
ArcheAge,2015-03-26,PC,Played,PC,2020-02-03 22:05:42,2020-02-03 22:26:43,,,,https://rawg.io/games/archeage
Boring Man - Online Tactical Stickman Combat,2015-02-20,PC,Not played,PC,2020-02-03 22:05:43,2020-02-03 22:26:31,,,,https://rawg.io/games/boring-man-online-tactical-stickman-combat
Invisible Apartment,2015-03-02,"Linux, PC, macOS",Not played,PC,2020-02-03 22:05:43,2020-02-03 22:26:28,,,,https://rawg.io/games/invisible-apartment
Indie Game Battle,2015-10-29,PC,Not played,PC,2020-02-03 22:05:44,2020-02-03 22:23:56,,,,https://rawg.io/games/indie-game-battle
ChargeShot,2015-09-18,PC,Not played,PC,2020-02-03 22:05:44,2020-02-03 22:23:53,,,,https://rawg.io/games/chargeshot
Burgers,2015-09-03,PC,Not played,PC,2020-02-03 22:05:43,2020-02-03 22:23:51,,,,https://rawg.io/games/burgers
Stories: The Path of Destinies,2016-04-11,"PC, Xbox One, PlayStation 4",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:23:42,,,,https://rawg.io/games/stories-the-path-of-destinies
Audition Online,2015-06-03,PC,Played,PC,2020-02-03 22:05:43,2020-02-03 22:23:33,,,,https://rawg.io/games/audition-online
F1 2015,2015-07-09,"Linux, PC, Xbox One, PlayStation 4",Not played,PC,2020-02-03 22:05:42,2020-02-03 22:23:30,,,,https://rawg.io/games/f1-2015
Magic Duels,2015-07-08,"PC, iOS, Xbox One",Played,PC,2020-02-03 22:05:43,2020-02-03 22:23:06,,,,https://rawg.io/games/magic-duels
